cluster_alias,neurotransmitter,supercluster,cluster,subcluster
0,#2BDFD1,#80BAED,#909FF6,#7E807A
1,#2BDFD1,#80BAED,#A5B0D9,#C54945
2,#2BDFD1,#80BAED,#A5B0D9,#5232B7
3,#2BDFD1,#80BAED,#A5B0D9,#31BEBA
4,#2BDFD1,#80BAED,#A5B0D9,#C8A9BC
5,#2BDFD1,#80BAED,#A5B0D9,#54A436
6,#22A5BB,#80BAED,#8A9AF6,#BEB277
7,#22A5BB,#80BAED,#8A9AF6,#843180
8,#22A5BB,#80BAED,#8A9AF6,#35AD7A
9,#2BDFD1,#80BAED,#6DACF2,#676131
10,#2BDFD1,#80BAED,#89C9CE,#497E38
11,#2BDFD1,#80BAED,#89C9CE,#CB3380
12,#2BDFD1,#80BAED,#89C9CE,#BBC388
13,#2BDFD1,#80BAED,#89C9CE,#4287C3
14,#2BDFD1,#80BAED,#6DACF2,#8646B9
15,#2BDFD1,#80BAED,#6DACF2,#8EC88C
16,#2BDFD1,#80BAED,#97B8C8,#45328F
17,#2BDFD1,#80BAED,#97B8C8,#C85E40
18,#2BDFD1,#80BAED,#97B8C8,#61C1C2
19,#2BDFD1,#80BAED,#97B8C8,#CB78C3
20,#2BDFD1,#80BAED,#97B8C8,#4CB941
21,#FF3358,#FEFE00,#B3D71A,#80817C
22,#196AA5,#93FEB4,#64E9B1,#38C93C
23,#196AA5,#93FEB4,#64E9B1,#BFB3BF
24,#196AA5,#93FEB4,#64E9B1,#3847C3
25,#196AA5,#93FEB4,#64E9B1,#50BCB9
26,#196AA5,#93FEB4,#64E9B1,#353F3E
27,#196AA5,#93FEB4,#4DDBC3,#80817E
28,#196AA5,#93FEB4,#7EE9AC,#B03742
29,#196AA5,#93FEB4,#7EE9AC,#347E39
30,#196AA5,#93FEB4,#7EE9AC,#BCC452
31,#196AA5,#93FEB4,#7EE9AC,#56D6B7
32,#196AA5,#93FEB4,#7EE9AC,#383EBE
33,#196AA5,#93FEB4,#7EE9AC,#C46CC7
34,#2252C2,#93FEB4,#5CE760,#36494D
35,#196AA5,#93FEB4,#65DEDA,#74B12E
36,#196AA5,#93FEB4,#65DEDA,#C19DB9
37,#196AA5,#93FEB4,#65DEDA,#3297A3
38,#196AA5,#93FEB4,#65DEDA,#8F2E66
39,#423B77,#93FEB4,#D8B48F,#BF8131
40,#423B77,#93FEB4,#D8B48F,#BAB0C4
41,#196AA5,#CC9F80,#AE949B,#873BC7
42,#196AA5,#CC9F80,#AE949B,#355A39
43,#196AA5,#CC9F80,#AE949B,#BDCF72
44,#196AA5,#CC9F80,#DD7F83,#87DABF
45,#196AA5,#CC9F80,#DD7F83,#20C4B3
46,#196AA5,#CC9F80,#C37B71,#3FC3BC
47,#196AA5,#CC9F80,#DD7F83,#C238CF
48,#196AA5,#CC9F80,#E3A1A4,#3BA840
49,#196AA5,#CC9F80,#E3A1A4,#2C41B2
50,#196AA5,#CC9F80,#E3A1A4,#BDAB3A
51,#196AA5,#CC9F80,#E3A1A4,#C32CA4
52,#196AA5,#CC9F80,#E3A1A4,#78282F
53,#196AA5,#CC9F80,#E3A1A4,#3DC2BC
54,#196AA5,#CC9F80,#E3A1A4,#BAB5B6
55,#196AA5,#CC9F80,#AE949B,#BB4641
56,#196AA5,#CC9F80,#AE949B,#36AFAE
57,#196AA5,#CC9F80,#D69C8B,#B93999
58,#196AA5,#CC9F80,#D69C8B,#C0C17F
59,#196AA5,#CC9F80,#D69C8B,#3D7ACE
60,#196AA5,#CC9F80,#D69C8B,#43393D
61,#196AA5,#CC9F80,#D69C8B,#51BF3C
62,#196AA5,#CC9F80,#C9AA66,#C83F64
63,#196AA5,#CC9F80,#C9AA66,#423880
64,#196AA5,#CC9F80,#9ABE74,#5F39D6
65,#196AA5,#CC9F80,#9ABE74,#CF3FB7
66,#196AA5,#CC9F80,#C37B71,#CB464B
67,#196AA5,#CC9F80,#F27D89,#70819A
68,#196AA5,#CC9F80,#F27D89,#B3802C
69,#196AA5,#CC9F80,#F27D89,#4240D0
70,#196AA5,#CC9F80,#F27D89,#342E4B
71,#196AA5,#CC9F80,#F27D89,#C03561
72,#196AA5,#CC9F80,#F27D89,#BD43DB
73,#196AA5,#CC9F80,#F27D89,#CABFCA
74,#196AA5,#CC9F80,#F27D89,#D6D261
75,#196AA5,#CC9F80,#F27D89,#3CCDD2
76,#196AA5,#CC9F80,#EF9E5F,#777E80
77,#196AA5,#CC9F80,#9ABE74,#CFBCBC
78,#196AA5,#CC9F80,#C37B71,#30C12F
79,#196AA5,#CC9F80,#C37B71,#3C45B5
80,#196AA5,#CC9F80,#B9C56D,#383A4D
81,#196AA5,#CC9F80,#B9C56D,#BDC5B7
82,#196AA5,#CC9F80,#B9C56D,#BE3587
83,#196AA5,#CC9F80,#A8A2B0,#435631
84,#196AA5,#CC9F80,#A8A2B0,#4E35BA
85,#196AA5,#CC9F80,#F2AD85,#2FC8A9
86,#196AA5,#CC9F80,#F2AD85,#A1C432
87,#196AA5,#CC9F80,#F2AD85,#B5B7BD
88,#196AA5,#CC9F80,#F2AD85,#4A37C8
89,#196AA5,#CC9F80,#F2AD85,#CF3F73
90,#196AA5,#CC9F80,#F2AD85,#484F3A
91,#196AA5,#CC9F80,#F27D89,#1FAB43
92,#196AA5,#CC9F80,#F27D89,#71CB41
93,#196AA5,#CC9F80,#C37B71,#B6C2C5
94,#196AA5,#CC9F80,#C37B71,#BD40BA
95,#196AA5,#CC9F80,#C9AA66,#C9B899
96,#196AA5,#CC9F80,#C37B71,#4D4136
97,#196AA5,#CC9F80,#C37B71,#BFC051
98,#196AA5,#CC9F80,#D0AA80,#93303C
99,#196AA5,#CC9F80,#B9C56D,#3A84CC
100,#196AA5,#CC9F80,#B9C56D,#75C23D
101,#196AA5,#CC9F80,#A8A2B0,#C6345B
102,#196AA5,#CC9F80,#A8A2B0,#BE86C8
103,#196AA5,#CC9F80,#A8A2B0,#B1C140
104,#196AA5,#CC9F80,#A8A2B0,#3FCF98
105,#196AA5,#CC9F80,#C9AA66,#4FB2C1
106,#196AA5,#CC9F80,#C9AA66,#69BC2C
107,#196AA5,#CC9F80,#EBA3A5,#78CF7D
108,#196AA5,#CC9F80,#EBA3A5,#424B8A
109,#196AA5,#CC9F80,#EBA3A5,#CA517D
110,#196AA5,#CC9F80,#9ABE74,#8CE06D
111,#196AA5,#CC9F80,#9ABE74,#7E843B
112,#196AA5,#CC9F80,#9ABE74,#C32B3C
113,#196AA5,#CC9F80,#9ABE74,#DEB726
114,#196AA5,#CC9F80,#9ABE74,#273F58
115,#196AA5,#CC9F80,#9ABE74,#23C447
116,#196AA5,#CC9F80,#9ABE74,#3EB5C4
117,#196AA5,#CC9F80,#D0AA80,#59BEBD
118,#196AA5,#CC9F80,#D0AA80,#3838B6
119,#196AA5,#CC9F80,#D0AA80,#C7B646
120,#196AA5,#CC9F80,#D0AA80,#C95AC3
121,#196AA5,#CC9F80,#D0AA80,#359438
122,#196AA5,#CC9F80,#A7AF59,#7F757F
123,#196AA5,#CC9F80,#F59667,#78823C
124,#196AA5,#CC9F80,#F59667,#817DC0
125,#6B0C48,#4C005C,#3D2237,#787F7D
126,#6B0C48,#4C005C,#3E234C,#BE5081
127,#6B0C48,#4C005C,#3E234C,#3871AF
128,#6B0C48,#4C005C,#3E234C,#7CC851
129,#6B0C48,#4C005C,#410130,#9DC68C
130,#6B0C48,#4C005C,#360677,#395F39
131,#6B0C48,#4C005C,#360677,#563DC6
132,#6B0C48,#4C005C,#360677,#C5ADB9
133,#6B0C48,#4C005C,#360677,#BF2C7B
134,#6B0C48,#4C005C,#360677,#42C5A3
135,#6B0C48,#4C005C,#360677,#A6BD30
136,#FF3358,#4C005C,#55314F,#41C350
137,#FF3358,#4C005C,#55314F,#5138A2
138,#FF3358,#4C005C,#55314F,#2C86D9
139,#FF3358,#4C005C,#55314F,#C0D1BD
140,#FF3358,#4C005C,#55314F,#C152C4
141,#FF3358,#4C005C,#55314F,#CCBC42
142,#FF3358,#4C005C,#55314F,#C74242
143,#FF3358,#4C005C,#55314F,#3F4B35
144,#FF3358,#4C005C,#770E79,#C6B73F
145,#FF3358,#4C005C,#770E79,#49C77F
146,#FF3358,#4C005C,#770E79,#CA71BD
147,#FF3358,#4C005C,#770E79,#853C31
148,#FF3358,#4C005C,#770E79,#4945C0
149,#FF3358,#4C005C,#64295C,#3B9444
150,#FF3358,#4C005C,#64295C,#97C0B4
151,#FF3358,#4C005C,#64295C,#B8663B
152,#FF3358,#4C005C,#64295C,#8035C1
153,#FF3358,#4C005C,#4E068C,#B96D81
154,#FF3358,#4C005C,#4E068C,#3B8B77
155,#FF3358,#4C005C,#221146,#9177BB
156,#FF3358,#4C005C,#221146,#678545
157,#FF3358,#4C005C,#5C283E,#A2B233
158,#FF3358,#4C005C,#5C283E,#73C5B9
159,#FF3358,#4C005C,#5C283E,#2C4F62
160,#FF3358,#4C005C,#5C283E,#AE3FA6
161,#6B0C48,#4C005C,#410130,#B63D80
162,#6B0C48,#4C005C,#410130,#316C69
163,#FF3358,#93FEB4,#B8A5E0,#C2C97E
164,#FF3358,#93FEB4,#B8A5E0,#BB3958
165,#FF3358,#93FEB4,#B8A5E0,#397B3E
166,#FF3358,#93FEB4,#B8A5E0,#7B46CC
167,#FF3358,#93FEB4,#B8A5E0,#3EB8B5
168,#FF3358,#93FEB4,#D2AFAC,#52C1C3
169,#FF3358,#93FEB4,#D2AFAC,#3CBE33
170,#FF3358,#93FEB4,#D2AFAC,#C154E2
171,#FF3358,#93FEB4,#D2AFAC,#2C4CBC
172,#FF3358,#93FEB4,#D2AFAC,#987C81
173,#FF3358,#93FEB4,#D2AFAC,#C4BD2E
174,#FF3358,#93FEB4,#D2AFAC,#D3C8AD
175,#FF3358,#93FEB4,#D2AFAC,#BE3532
176,#FF3358,#93FEB4,#D2AFAC,#493735
177,#FF3358,#93FEB4,#3EDBF7,#34C83D
178,#FF3358,#93FEB4,#D2AFAC,#D7258A
179,#FF3358,#93FEB4,#3EDBF7,#C736C1
180,#FF3358,#93FEB4,#3EDBF7,#5773BC
181,#FF3358,#93FEB4,#3EDBF7,#A7B73C
182,#FF3358,#93FEB4,#3EDBF7,#D14644
183,#FF3358,#93FEB4,#3EDBF7,#494034
184,#FF3358,#93FEB4,#3EDBF7,#2F1DBA
185,#FF3358,#93FEB4,#3EDBF7,#C6BCAD
186,#FF3358,#93FEB4,#89ACAB,#2CCFDF
187,#FF3358,#DFFE66,#ACF16F,#507D9B
188,#FF3358,#DFFE66,#ACF16F,#4628C5
189,#FF3358,#DFFE66,#ACF16F,#3EC32E
190,#FF3358,#DFFE66,#ACF16F,#BA353F
191,#FF3358,#93FEB4,#3DF1DF,#2D2DC1
192,#FF3358,#93FEB4,#3DF1DF,#BDCD2E
193,#FF3358,#93FEB4,#3DF1DF,#2C4640
194,#FF3358,#93FEB4,#3DF1DF,#D5CB9D
195,#FF3358,#93FEB4,#3DF1DF,#A036C6
196,#FF3358,#93FEB4,#3DF1DF,#ACA4D4
197,#FF3358,#93FEB4,#3DF1DF,#31D4A9
198,#FF3358,#93FEB4,#3DF1DF,#3CB434
199,#FF3358,#93FEB4,#3DF1DF,#457FC2
200,#FF3358,#93FEB4,#3DF1DF,#94551F
201,#95369C,#DFFE66,#A4F791,#2EC743
202,#95369C,#DFFE66,#A4F791,#C37DB3
203,#95369C,#DFFE66,#A4F791,#8CAF35
204,#95369C,#DFFE66,#A4F791,#B92AB6
205,#95369C,#DFFE66,#A4F791,#C23D3F
206,#95369C,#DFFE66,#A4F791,#B7DBB9
207,#95369C,#DFFE66,#A4F791,#3AB2C4
208,#95369C,#DFFE66,#A4F791,#4540BE
209,#95369C,#DFFE66,#A4F791,#DCBB50
210,#FF3358,#DFFE66,#F3FB66,#2A42A2
211,#FF3358,#DFFE66,#F3FB66,#3ACA4B
212,#FF3358,#DFFE66,#F3FB66,#C43B40
213,#FF3358,#DFFE66,#F3FB66,#D078D2
214,#FF3358,#DFFE66,#F3FB66,#55BEC1
215,#95369C,#DFFE66,#96FA54,#B6BBC8
216,#FF3358,#DFFE66,#F3FB66,#403528
217,#FF3358,#DFFE66,#F3FB66,#BAB634
218,#95369C,#DFFE66,#96FA54,#45C134
219,#FF3358,#DFFE66,#F3FB66,#CCD7B8
220,#95369C,#DFFE66,#A4F791,#2F392F
221,#95369C,#DFFE66,#96FA54,#4D46E1
222,#FF3358,#DFFE66,#9EEB7C,#3A28CC
223,#95369C,#DFFE66,#96FA54,#C0D73F
224,#95369C,#DFFE66,#96FA54,#598C81
225,#95369C,#DFFE66,#96FA54,#53338C
226,#95369C,#DFFE66,#96FA54,#AD3433
227,#95369C,#DFFE66,#96FA54,#33D0C1
228,#95369C,#DFFE66,#96FA54,#D944C4
229,#95369C,#DFFE66,#96FA54,#383B24
230,#FF3358,#DFFE66,#E0B73C,#3F2BB8
231,#FF3358,#DFFE66,#E0B73C,#3BAE25
232,#FF3358,#DFFE66,#E0B73C,#DC433C
233,#FF3358,#DFFE66,#E0B73C,#32D8CA
234,#FF3358,#DFFE66,#E0B73C,#7D3735
235,#FF3358,#DFFE66,#E0B73C,#C7BBB8
236,#FF3358,#DFFE66,#E0B73C,#AFC544
237,#FF3358,#DFFE66,#E0B73C,#BF2DBB
238,#FF3358,#DFFE66,#E0B73C,#39D56C
239,#FF3358,#DFFE66,#E0B73C,#5D8BCA
240,#FF3358,#DFFE66,#CEF799,#CDBD5F
241,#FF3358,#DFFE66,#CEF799,#3B404E
242,#FF3358,#DFFE66,#CEF799,#BF46BF
243,#FF3358,#DFFE66,#CEF799,#49C041
244,#FF3358,#DFFE66,#CEF799,#C6433E
245,#FF3358,#DFFE66,#CEF799,#4166C3
246,#FF3358,#DFFE66,#CEF799,#76D4CE
247,#FF3358,#DFFE66,#E3C79D,#B779C6
248,#FF3358,#DFFE66,#E3C79D,#43C9D2
