cluster_alias,neurotransmitter,supercluster,cluster,subcluster
0,VGLUT1,Upper rhombic lip,URL_297,URL_297_0
1,VGLUT1,Upper rhombic lip,URL_308,URL_308_1
2,VGLUT1,Upper rhombic lip,URL_308,URL_308_2
3,VGLUT1,Upper rhombic lip,URL_308,URL_308_3
4,VGLUT1,Upper rhombic lip,URL_308,URL_308_4
5,VGLUT1,Upper rhombic lip,URL_308,URL_308_5
6,VGLUT1 VGLUT2,Upper rhombic lip,URL_309,URL_309_6
7,VGLUT1 VGLUT2,Upper rhombic lip,URL_309,URL_309_7
8,VGLUT1 VGLUT2,Upper rhombic lip,URL_309,URL_309_8
9,VGLUT1,Upper rhombic lip,URL_310,URL_310_9
10,VGLUT1,Upper rhombic lip,URL_311,URL_311_10
11,VGLUT1,Upper rhombic lip,URL_311,URL_311_11
12,VGLUT1,Upper rhombic lip,URL_311,URL_311_12
13,VGLUT1,Upper rhombic lip,URL_311,URL_311_13
14,VGLUT1,Upper rhombic lip,URL_310,URL_310_14
15,VGLUT1,Upper rhombic lip,URL_310,URL_310_15
16,VGLUT1,Upper rhombic lip,URL_312,URL_312_16
17,VGLUT1,Upper rhombic lip,URL_312,URL_312_17
18,VGLUT1,Upper rhombic lip,URL_312,URL_312_18
19,VGLUT1,Upper rhombic lip,URL_312,URL_312_19
20,VGLUT1,Upper rhombic lip,URL_312,URL_312_20
21,GABA,Miscellaneous,Misc_314,Misc_314_21
22,VGLUT2,Splatter,Splat_363,Splat_363_22
23,VGLUT2,Splatter,Splat_363,Splat_363_23
24,VGLUT2,Splatter,Splat_363,Splat_363_24
25,VGLUT2,Splatter,Splat_363,Splat_363_25
26,VGLUT2,Splatter,Splat_363,Splat_363_26
27,VGLUT2,Splatter,Splat_341,Splat_341_27
28,VGLUT2,Splatter,Splat_342,Splat_342_28
29,VGLUT2,Splatter,Splat_342,Splat_342_29
30,VGLUT2,Splatter,Splat_342,Splat_342_30
31,VGLUT2,Splatter,Splat_342,Splat_342_31
32,VGLUT2,Splatter,Splat_342,Splat_342_32
33,VGLUT2,Splatter,Splat_342,Splat_342_33
34,VGLUT2 VGLUT3,Splatter,Splat_336,Splat_336_34
35,VGLUT2,Splatter,Splat_338,Splat_338_35
36,VGLUT2,Splatter,Splat_338,Splat_338_36
37,VGLUT2,Splatter,Splat_338,Splat_338_37
38,VGLUT2,Splatter,Splat_338,Splat_338_38
39,GLY VGLUT2,Splatter,Splat_339,Splat_339_39
40,GLY VGLUT2,Splatter,Splat_339,Splat_339_40
41,VGLUT2,Thalamic excitatory,Thex_460,Thex_460_41
42,VGLUT2,Thalamic excitatory,Thex_460,Thex_460_42
43,VGLUT2,Thalamic excitatory,Thex_460,Thex_460_43
44,VGLUT2,Thalamic excitatory,Thex_459,Thex_459_44
45,VGLUT2,Thalamic excitatory,Thex_459,Thex_459_45
46,VGLUT2,Thalamic excitatory,Thex_453,Thex_453_46
47,VGLUT2,Thalamic excitatory,Thex_459,Thex_459_47
48,VGLUT2,Thalamic excitatory,Thex_455,Thex_455_48
49,VGLUT2,Thalamic excitatory,Thex_455,Thex_455_49
50,VGLUT2,Thalamic excitatory,Thex_455,Thex_455_50
51,VGLUT2,Thalamic excitatory,Thex_455,Thex_455_51
52,VGLUT2,Thalamic excitatory,Thex_455,Thex_455_52
53,VGLUT2,Thalamic excitatory,Thex_455,Thex_455_53
54,VGLUT2,Thalamic excitatory,Thex_455,Thex_455_54
55,VGLUT2,Thalamic excitatory,Thex_460,Thex_460_55
56,VGLUT2,Thalamic excitatory,Thex_460,Thex_460_56
57,VGLUT2,Thalamic excitatory,Thex_457,Thex_457_57
58,VGLUT2,Thalamic excitatory,Thex_457,Thex_457_58
59,VGLUT2,Thalamic excitatory,Thex_457,Thex_457_59
60,VGLUT2,Thalamic excitatory,Thex_457,Thex_457_60
61,VGLUT2,Thalamic excitatory,Thex_457,Thex_457_61
62,VGLUT2,Thalamic excitatory,Thex_449,Thex_449_62
63,VGLUT2,Thalamic excitatory,Thex_449,Thex_449_63
64,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_64
65,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_65
66,VGLUT2,Thalamic excitatory,Thex_453,Thex_453_66
67,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_67
68,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_68
69,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_69
70,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_70
71,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_71
72,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_72
73,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_73
74,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_74
75,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_75
76,VGLUT2,Thalamic excitatory,Thex_456,Thex_456_76
77,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_77
78,VGLUT2,Thalamic excitatory,Thex_453,Thex_453_78
79,VGLUT2,Thalamic excitatory,Thex_453,Thex_453_79
80,VGLUT2,Thalamic excitatory,Thex_454,Thex_454_80
81,VGLUT2,Thalamic excitatory,Thex_454,Thex_454_81
82,VGLUT2,Thalamic excitatory,Thex_454,Thex_454_82
83,VGLUT2,Thalamic excitatory,Thex_450,Thex_450_83
84,VGLUT2,Thalamic excitatory,Thex_450,Thex_450_84
85,VGLUT2,Thalamic excitatory,Thex_451,Thex_451_85
86,VGLUT2,Thalamic excitatory,Thex_451,Thex_451_86
87,VGLUT2,Thalamic excitatory,Thex_451,Thex_451_87
88,VGLUT2,Thalamic excitatory,Thex_451,Thex_451_88
89,VGLUT2,Thalamic excitatory,Thex_451,Thex_451_89
90,VGLUT2,Thalamic excitatory,Thex_451,Thex_451_90
91,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_91
92,VGLUT2,Thalamic excitatory,Thex_458,Thex_458_92
93,VGLUT2,Thalamic excitatory,Thex_453,Thex_453_93
94,VGLUT2,Thalamic excitatory,Thex_453,Thex_453_94
95,VGLUT2,Thalamic excitatory,Thex_449,Thex_449_95
96,VGLUT2,Thalamic excitatory,Thex_453,Thex_453_96
97,VGLUT2,Thalamic excitatory,Thex_453,Thex_453_97
98,VGLUT2,Thalamic excitatory,Thex_447,Thex_447_98
99,VGLUT2,Thalamic excitatory,Thex_454,Thex_454_99
100,VGLUT2,Thalamic excitatory,Thex_454,Thex_454_100
101,VGLUT2,Thalamic excitatory,Thex_450,Thex_450_101
102,VGLUT2,Thalamic excitatory,Thex_450,Thex_450_102
103,VGLUT2,Thalamic excitatory,Thex_450,Thex_450_103
104,VGLUT2,Thalamic excitatory,Thex_450,Thex_450_104
105,VGLUT2,Thalamic excitatory,Thex_449,Thex_449_105
106,VGLUT2,Thalamic excitatory,Thex_449,Thex_449_106
107,VGLUT2,Thalamic excitatory,Thex_452,Thex_452_107
108,VGLUT2,Thalamic excitatory,Thex_452,Thex_452_108
109,VGLUT2,Thalamic excitatory,Thex_452,Thex_452_109
110,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_110
111,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_111
112,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_112
113,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_113
114,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_114
115,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_115
116,VGLUT2,Thalamic excitatory,Thex_448,Thex_448_116
117,VGLUT2,Thalamic excitatory,Thex_447,Thex_447_117
118,VGLUT2,Thalamic excitatory,Thex_447,Thex_447_118
119,VGLUT2,Thalamic excitatory,Thex_447,Thex_447_119
120,VGLUT2,Thalamic excitatory,Thex_447,Thex_447_120
121,VGLUT2,Thalamic excitatory,Thex_447,Thex_447_121
122,VGLUT2,Thalamic excitatory,Thex_445,Thex_445_122
123,VGLUT2,Thalamic excitatory,Thex_446,Thex_446_123
124,VGLUT2,Thalamic excitatory,Thex_446,Thex_446_124
125,GLY,Cerebellar inhibitory,CBI_302,CBI_302_125
126,GLY,Cerebellar inhibitory,CBI_298,CBI_298_126
