VGLUT1: #2BDFD1
VGLUT1 VGLUT2: #22A5BB
GABA: #FF3358
VGLUT2: #196AA5
VGLUT2 VGLUT3: #2252C2
GLY VGLUT2: #423B77
GLY: #6B0C48
GABA VGLUT3: #95369C
None: #666666
HDC: #FF7621
SER VGLUT3: #3F38B8
VGLUT3: #2B39DF
HDC VGLUT2: #8C7063
GABA VGLUT2: #8C4F7F
GABA HDC: #FF553D
GABA HDC VGLUT2: #C6525E
CHOL VGLUT1 VGLUT2: #4FE3AB
CHOL VGLUT3: #4F90B2
DA VGLUT2: #8BAD78
VGLUT1 VGLUT2 VGLUT3: #2B93DF
Upper rhombic lip: #80BAED
Miscellaneous: #FEFE00
Splatter: #93FEB4
Thalamic excitatory: #CC9F80
Cerebellar inhibitory: #4C005C
MGE interneuron: #DFFE66
LAMP5-LHX6 and Chandelier: #00988E
CGE interneuron: #983F00
Midbrain-derived inhibitory: #FEFE80
Amygdala excitatory: #808080
Lower rhombic lip: #8E7C00
Mammillary body: #980000
Medium spiny neuron: #740AFE
Eccentric medium spiny neuron: #2BCD48
Hippocampal dentate gyrus: #003380
Hippocampal CA4: #C10087
Hippocampal CA1-3: #9CCB00
Deep-layer intratelencephalic: #426600
Deep-layer corticothalamic and 6b: #5EF0F1
Upper-layer intratelencephalic: #FEA7BA
Deep-layer near-projecting: #EE1010
Oligodendrocyte: #9CBA19
Committed oligodendrocyte precursor: #7CAA09
Oligodendrocyte precursor: #0098D4
Bergmann glia: #E7C31F
Astrocyte: #AB3BC4
Ependymal: #ED5F8E
Choroid plexus: #005C31
Vascular: #E12E12
Fibroblast: #C48351
Microglia: #FEA305
URL_297: #909FF6
URL_308: #A5B0D9
URL_309: #8A9AF6
URL_310: #6DACF2
URL_311: #89C9CE
URL_312: #97B8C8
Misc_314: #B3D71A
Splat_363: #64E9B1
Splat_341: #4DDBC3
Splat_342: #7EE9AC
Splat_336: #5CE760
Splat_338: #65DEDA
Splat_339: #D8B48F
Thex_460: #AE949B
Thex_459: #DD7F83
Thex_453: #C37B71
Thex_455: #E3A1A4
Thex_457: #D69C8B
Thex_449: #C9AA66
Thex_448: #9ABE74
Thex_458: #F27D89
Thex_456: #EF9E5F
Thex_454: #B9C56D
Thex_450: #A8A2B0
Thex_451: #F2AD85
Thex_447: #D0AA80
Thex_452: #EBA3A5
Thex_445: #A7AF59
Thex_446: #F59667
CBI_302: #3D2237
CBI_298: #3E234C
CBI_301: #410130
CBI_299: #360677
CBI_300: #55314F
CBI_303: #770E79
CBI_304: #64295C
CBI_306: #4E068C
CBI_305: #221146
CBI_307: #5C283E
Splat_409: #B8A5E0
Splat_238: #D2AFAC
Splat_237: #3EDBF7
Splat_425: #89ACAB
MGE_245: #ACF16F
Splat_235: #3DF1DF
MGE_254: #A4F791
MGE_253: #F3FB66
MGE_252: #96FA54
MGE_249: #9EEB7C
MGE_246: #E0B73C
MGE_247: #CEF799
MGE_248: #E3C79D
MGE_250: #DCC27D
MGE_251: #D1EDA5
MGE_244: #F4AE67
MGE_242: #C0C68D
MGE_243: #DCEA93
MGE_241: #E0DD3B
MGE_239: #95ED6B
MGE_240: #BBFE43
MGE_236: #A1EE31
MGE_260: #E2DF3B
MGE_259: #BFE859
MGE_258: #CBB579
MGE_256: #C0C92E
MGE_255: #CCE19F
LLC_264: #26B976
LLC_266: #09AE9C
LLC_265: #14697D
MGE_257: #D1CE28
MGE_262: #FEFA29
MGE_261: #C2FB35
MGE_263: #FBFD46
CGE_286: #CE3B28
CGE_288: #810B14
CGE_287: #99512B
LLC_270: #06ADA7
LLC_271: #169495
LLC_268: #117FAF
LLC_272: #03977C
LLC_273: #2B8A7C
LLC_274: #028AAD
LLC_275: #13779C
LLC_269: #199074
LLC_267: #23AEA3
CGE_276: #612B05
CGE_296: #CC1E16
CGE_295: #C30415
CGE_289: #B31A1D
CGE_294: #940606
CGE_293: #983D4C
CGE_290: #B23D46
CGE_291: #840423
CGE_284: #C15303
CGE_283: #8E2343
CGE_282: #706914
CGE_292: #D44D1D
CGE_280: #D14C16
CGE_285: #CC5416
CGE_281: #504012
CGE_279: #744507
Splat_428: #83AD88
CGE_277: #970607
CGE_278: #AB1601
Midi_433: #F9F7AE
Midi_439: #F2F2B3
Midi_438: #D3F35A
Midi_435: #D3EF9F
Midi_434: #CBDD8E
Midi_436: #E4DF6C
Midi_437: #E7F87C
Midi_440: #EEC796
Midi_441: #E0D988
Midi_442: #C9FC77
Midi_443: #FBDE51
Midi_444: #D4EAA0
Splat_313: #A5D7BE
Amex_408: #A6737C
Splat_432: #A3E09D
Splat_410: #3BF6BC
Splat_397: #6BE3DB
Splat_396: #38DDD7
Splat_335: #8DD2BF
Splat_351: #F4C894
Splat_393: #BBE5B8
Splat_362: #44A9BA
Splat_392: #98F694
Splat_354: #A5B7C5
Splat_337: #9CF070
Splat_423: #47EB98
LRL_322: #B49A17
LRL_315: #954F03
LRL_316: #889112
LRL_321: #5F9A15
LRL_320: #966A0A
LRL_319: #847D0C
LRL_318: #896C38
LRL_317: #645501
Splat_431: #EFC7A3
Splat_411: #B4C1FC
Splat_415: #9EAB93
Splat_414: #63DAAA
Splat_378: #ECFEBF
Splat_382: #FBE5B2
Splat_377: #7CB9B6
Splat_417: #79DD72
Splat_416: #CCFD56
Splat_349: #7BA3F4
Splat_399: #66C89C
Splat_398: #52D7B5
Splat_344: #71DD5F
Splat_346: #BED1A0
Splat_387: #9693B2
Splat_380: #65CCE3
Splat_347: #A8E484
Splat_381: #86D394
Splat_374: #8FADE0
Splat_386: #91ABC8
Amex_407: #685C77
Splat_366: #B5DCB2
Splat_379: #9DD860
Splat_343: #80BAF5
Splat_388: #9E94CE
Splat_373: #88DFAC
Thex_372: #BF9661
Splat_367: #65EDCA
Splat_364: #9DD9D4
Splat_368: #C4E4F8
Splat_394: #D9F4B7
Splat_370: #749A9B
Splat_371: #61C4B8
Splat_369: #C6A485
Splat_340: #84C4E8
Splat_384: #70E55F
Splat_383: #82A478
Splat_385: #DACA74
Splat_412: #A2BAD6
Splat_413: #F3ECAF
Splat_420: #56EBA6
Mmb_331: #852817
Splat_345: #73FC9B
Splat_376: #63F4C2
Splat_365: #91D0A0
Splat_390: #8DA1BA
Splat_355: #55B2EA
Mmb_332: #850122
Mmb_333: #702116
Splat_357: #A4A8E0
Splat_358: #DEFBA3
Splat_361: #919CCA
Splat_359: #5DAEB5
Splat_356: #ABF77F
Splat_389: #89EEFE
Splat_421: #BEC2A4
Splat_422: #93FDB6
Splat_424: #B1A196
Splat_429: #3DD6D8
Splat_375: #B9C561
Splat_391: #E3C479
Splat_353: #47C4D7
Splat_334: #CCC9E7
Splat_348: #52C1ED
Splat_400: #95EF5B
Splat_350: #78CB8D
Amex_419: #6498A2
Amex_405: #766D83
MSN_427: #322BE2
EMSN_426: #19F454
MSN_217: #A333FB
Splat_403: #C2B17E
Splat_418: #2EED7D
Mmb_323: #C50C06
Mmb_325: #942D09
Mmb_329: #BF140F
Mmb_330: #A13310
Mmb_326: #B11126
Mmb_328: #B60626
Mmb_324: #A12C1B
Mmb_327: #82052E
Splat_395: #41E2AC
Splat_360: #AA9BD7
Splat_352: #C8DBC7
Amex_406: #526975
Amex_158: #899D68
Misc_164: #E6D024
EMSN_224: #46DD64
EMSN_222: #40C53A
EMSN_223: #1FDC27
EMSN_225: #25AF5B
EMSN_233: #25C953
EMSN_226: #1FB24C
EMSN_227: #16D868
MSN_219: #5C01B1
MSN_211: #8322F1
MSN_215: #413EE0
MSN_208: #7E40D0
MSN_213: #673ED0
MSN_214: #9641E1
MSN_216: #B529DB
MSN_212: #A505BF
MSN_207: #6103DF
MSN_209: #782DD6
MSN_210: #841BC5
MSN_206: #3927D2
MSN_221: #6A48EA
MSN_220: #6D3FE5
MSN_218: #7404BA
MSN_430: #8706E1
EMSN_229: #0ED254
EMSN_231: #3ADA4D
EMSN_232: #16B548
EMSN_230: #0CE038
EMSN_234: #14DC54
EMSN_228: #56D844
Splat_402: #9FF2C1
DG_203: #070F96
DG_204: #1D2898
DG_202: #162C80
DG_200: #134172
DG_201: #063981
DG_205: #094D8E
DG_199: #062463
Misc_401: #F6BE34
CA4_198: #C93083
CA4_191: #B90B97
CA4_193: #950C92
CA4_195: #AC117A
CA4_194: #A206AB
CA4_197: #C22185
CA4_196: #960F74
CA4_190: #9E0B66
CA4_192: #E52180
CA13_188: #A2CB17
CA13_187: #89B025
CA13_186: #79E80F
CA13_184: #B0FA02
CA13_183: #90F91C
CA13_185: #86AB24
CA13_181: #93FA01
CA13_182: #78CD2B
CA13_180: #9CDA2D
CA13_179: #88AA12
CA13_189: #BFD316
CA13_119: #B9BF2C
Misc_168: #EDBE17
Amex_174: #988CAC
Amex_175: #929BA6
Amex_173: #96866A
Amex_172: #A68C70
Amex_171: #5A7AA6
Misc_166: #B2DA0C
Misc_165: #C6C228
Amex_160: #959E68
Amex_159: #826167
DLIT_145: #3B5F2C
DLIT_147: #134E12
Amex_157: #7D9876
Amex_156: #776B7A
Amex_161: #688197
Amex_162: #909288
CA13_163: #A4AD2D
Misc_170: #E0E61F
CA13_169: #82CB09
Amex_154: #6EAC78
Amex_153: #579C8C
Amex_155: #748778
DLIT_149: #40643A
DLIT_148: #448D1C
DLIT_146: #286315
DLCT6b_100: #64D2BF
L5ET_118: #E8DE1B
L5ET_117: #B6CB18
Misc_116: #DBD458
L5ET_114: #CCCB29
L5ET_115: #AFD107
L5ET_113: #B6F627
ULIT_123: #C0ABA8
ULIT_120: #C096C1
ULIT_131: #F3A989
ULIT_125: #E3D196
ULIT_122: #D6C1B1
ULIT_130: #E8A3D2
ULIT_128: #ECC1C1
ULIT_127: #EABD8F
ULIT_126: #D1AAD0
ULIT_129: #D5ABE4
ULIT_121: #CEA3A0
ULIT_124: #F0A4E8
DLIT_150: #4B8D23
DLIT_151: #4A702D
DLIT_152: #147907
ULIT_133: #E88AAF
ULIT_135: #F3BBEB
ULIT_134: #F69D94
Misc_404: #B7E52E
DLIT_141: #685B2F
DLIT_142: #347622
DLIT_143: #269B04
DLIT_144: #335808
DLIT_136: #22652D
DLIT_137: #5F791E
DLIT_140: #563822
DLIT_139: #5C3810
ULIT_138: #F5DC97
Misc_132: #EACC41
Misc_167: #D6AC30
Misc_178: #CDFE2C
Misc_177: #D3DC50
Misc_176: #F39F10
DLCT6b_108: #A3E9E7
DLCT6b_106: #76F4ED
DLCT6b_105: #4DCAF1
DLCT6b_99: #79E3A8
DLCT6b_98: #42CFDA
DLCT6b_102: #22F6E7
DLCT6b_103: #37C7F0
DLCT6b_101: #3DECE9
DLCT6b_104: #5DA5E3
DLCT6b_109: #68E5B9
DLCT6b_107: #9CD9F4
DLCT6b_110: #48FECB
DLCT6b_112: #69F2B7
DLCT6b_111: #1BF7E0
DLCT6b_84: #6CC9E2
DLCT6b_97: #76CBDB
DLNP_83: #D3040F
DLNP_85: #E63B3D
DLNP_96: #CE1B05
DLNP_93: #D83E24
DLNP_89: #F1091F
DLNP_88: #D9264F
DLNP_87: #D80348
DLNP_90: #F82C14
DLNP_91: #C72511
DLNP_94: #EE1408
DLNP_95: #BE2A0F
