neurotransmitter,class,subclass,supertype,cluster
Chol,01 IT-ET Glut,001 CLA-EPd-CTX Car3 Glut,0001 CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1
Dopa,02 NP-CT-L6b Glut,002 IT EP-CLA Glut,0002 CLA-EPd-CTX Car3 Glut_2,0002 CLA-EPd-CTX Car3 Glut_1
GABA,03 OB-CR Glut,003 L5/6 IT TPE-ENT Glut,0003 IT EP-CLA Glut_1,0003 CLA-EPd-CTX Car3 Glut_1
GABA-Glyc,04 DG-IMN Glut,004 L6 IT CTX Glut,0004 IT EP-CLA Glut_2,0004 CLA-EPd-CTX Car3 Glut_1
Glut,05 OB-IMN GABA,005 L5 IT CTX Glut,0005 IT EP-CLA Glut_3,0005 CLA-EPd-CTX Car3 Glut_2
Glut-GABA,06 CTX-CGE GABA,006 L4/5 IT CTX Glut,0006 IT EP-CLA Glut_4,0006 IT EP-CLA Glut_1
Hist,07 CTX-MGE GABA,007 L2/3 IT CTX Glut,0007 L5/6 IT TPE-ENT Glut_1,0007 IT EP-CLA Glut_1
Nora,08 CNU-MGE GABA,008 L2/3 IT ENT Glut,0008 L5/6 IT TPE-ENT Glut_2,0008 IT EP-CLA Glut_1
Sero,09 CNU-LGE GABA,009 L2/3 IT PIR-ENTl Glut,0009 L5/6 IT TPE-ENT Glut_3,0009 IT EP-CLA Glut_1
,10 LSX GABA,010 IT AON-TT-DP Glut,0010 L5/6 IT TPE-ENT Glut_4,0010 IT EP-CLA Glut_1
,11 CNU-HYa GABA,011 L2 IT ENT-po Glut,0011 L5/6 IT TPE-ENT Glut_5,0011 IT EP-CLA Glut_1
,12 HY GABA,012 MEA Slc17a7 Glut,0012 L5/6 IT TPE-ENT Glut_6,0012 IT EP-CLA Glut_1
,13 CNU-HYa Glut,013 COAp Grxcr2 Glut,0013 L6 IT CTX Glut_1,0013 IT EP-CLA Glut_2
,14 HY Glut,014 LA-BLA-BMA-PA Glut,0014 L6 IT CTX Glut_2,0014 IT EP-CLA Glut_2
,15 HY Gnrh1 Glut,015 ENTmv-PA-COAp Glut,0015 L6 IT CTX Glut_3,0015 IT EP-CLA Glut_2
,16 HY MM Glut,016 CA1-ProS Glut,0016 L6 IT CTX Glut_4,0016 IT EP-CLA Glut_2
,17 MH-LH Glut,017 CA3 Glut,0017 L6 IT CTX Glut_5,0017 IT EP-CLA Glut_2
,18 TH Glut,018 L2 IT PPP-APr Glut,0018 L5 IT CTX Glut_1,0018 IT EP-CLA Glut_3
,19 MB Glut,019 L2/3 IT PPP Glut,0019 L5 IT CTX Glut_2,0019 IT EP-CLA Glut_3
,20 MB GABA,020 L2/3 IT RSP Glut,0020 L5 IT CTX Glut_3,0020 IT EP-CLA Glut_3
,21 MB Dopa,021 L4 RSP-ACA Glut,0021 L5 IT CTX Glut_4,0021 IT EP-CLA Glut_4
,22 MB-HB Sero,022 L5 ET CTX Glut,0022 L5 IT CTX Glut_5,0022 IT EP-CLA Glut_4
,23 P Glut,023 SUB-ProS Glut,0023 L4/5 IT CTX Glut_1,0023 L5/6 IT TPE-ENT Glut_1
,24 MY Glut,024 L5 PPP Glut,0024 L4/5 IT CTX Glut_2,0024 L5/6 IT TPE-ENT Glut_1
,25 Pineal Glut,025 CA2-FC-IG Glut,0025 L4/5 IT CTX Glut_3,0025 L5/6 IT TPE-ENT Glut_1
,26 P GABA,026 NLOT Rho Glut,0026 L4/5 IT CTX Glut_4,0026 L5/6 IT TPE-ENT Glut_2
,27 MY GABA,027 L6b EPd Glut,0027 L4/5 IT CTX Glut_5,0027 L5/6 IT TPE-ENT Glut_2
,28 CB GABA,028 L6b/CT ENT Glut,0028 L4/5 IT CTX Glut_6,0028 L5/6 IT TPE-ENT Glut_2
,29 CB Glut,029 L6b CTX Glut,0029 L2/3 IT CTX Glut_1,0029 L5/6 IT TPE-ENT Glut_3
,30 Astro-Epen,030 L6 CT CTX Glut,0030 L2/3 IT CTX Glut_2,0030 L5/6 IT TPE-ENT Glut_4
,31 OPC-Oligo,031 CT SUB Glut,0031 L2/3 IT CTX Glut_3,0031 L5/6 IT TPE-ENT Glut_5
,32 OEC,032 L5 NP CTX Glut,0032 L2/3 IT CTX Glut_4,0032 L5/6 IT TPE-ENT Glut_6
,33 Vascular,033 NP SUB Glut,0033 L2/3 IT ENT Glut_1,0033 L6 IT CTX Glut_1
,34 Immune,034 NP PPP Glut,0034 L2/3 IT ENT Glut_2,0034 L6 IT CTX Glut_1
,,035 OB Eomes Ms4a15 Glut,0035 L2/3 IT ENT Glut_3,0035 L6 IT CTX Glut_1
,,036 HPF CR Glut,0036 L2/3 IT ENT Glut_4,0036 L6 IT CTX Glut_1
,,037 DG Glut,0037 L2/3 IT ENT Glut_5,0037 L6 IT CTX Glut_1
,,038 DG-PIR Ex IMN,0038 L2/3 IT ENT Glut_6,0038 L6 IT CTX Glut_2
,,039 OB Meis2 Thsd7b Gaba,0039 L2/3 IT PIR-ENTl Glut_1,0039 L6 IT CTX Glut_2
,,040 OB Trdn Gaba,0040 L2/3 IT PIR-ENTl Glut_2,0040 L6 IT CTX Glut_2
,,041 OB-in Frmd7 Gaba,0041 L2/3 IT PIR-ENTl Glut_3,0041 L6 IT CTX Glut_2
,,042 OB-out Frmd7 Gaba,0042 L2/3 IT PIR-ENTl Glut_4,0042 L6 IT CTX Glut_2
,,043 OB-mi Frmd7 Gaba,0043 L2/3 IT PIR-ENTl Glut_5,0043 L6 IT CTX Glut_2
,,044 OB Dopa-Gaba,0044 L2/3 IT PIR-ENTl Glut_6,0044 L6 IT CTX Glut_3
,,045 OB-STR-CTX Inh IMN,0045 L2/3 IT PIR-ENTl Glut_7,0045 L6 IT CTX Glut_3
,,046 Vip Gaba,0046 IT AON-TT-DP Glut_1,0046 L6 IT CTX Glut_3
,,047 Sncg Gaba,0047 IT AON-TT-DP Glut_2,0047 L6 IT CTX Glut_3
,,048 RHP-COA Ndnf Gaba,0048 IT AON-TT-DP Glut_3,0048 L6 IT CTX Glut_3
,,049 Lamp5 Gaba,0049 IT AON-TT-DP Glut_4,0049 L6 IT CTX Glut_4
,,050 Lamp5 Lhx6 Gaba,0050 IT AON-TT-DP Glut_5,0050 L6 IT CTX Glut_4
,,051 Pvalb chandelier Gaba,0051 L2 IT ENT-po Glut_1,0051 L6 IT CTX Glut_4
,,052 Pvalb Gaba,0052 L2 IT ENT-po Glut_2,0052 L6 IT CTX Glut_4
