cluster_alias,neurotransmitter_color,class_color,subclass_color,supertype_color,cluster_color
1,#2B93DF,#FA0087,#0F6632,#266DFF,#64661F
2,#2B93DF,#FA0087,#0F6632,#266DFF,#CCA73D
3,#2B93DF,#FA0087,#0F6632,#002BCC,#99000D
4,#2B93DF,#FA0087,#0F6632,#002BCC,#5C8899
5,#2B93DF,#FA0087,#0F6632,#002BCC,#473D66
6,#2B93DF,#FA0087,#0F6632,#433D66,#661F52
7,#2B93DF,#FA0087,#0F6632,#433D66,#CCCB5C
8,#2B93DF,#FA0087,#0F6632,#433D66,#A2FF4D
9,#2B93DF,#FA0087,#0F6632,#433D66,#261799
10,#2B93DF,#FA0087,#0F6632,#3D65CC,#99CFFF
11,#2B93DF,#FA0087,#0F6632,#002BCC,#7A8DCC
12,#2B93DF,#61e2a4,#34661F,#00FFFD,#1F6651
13,#2B93DF,#61e2a4,#34661F,#00FFFD,#8F9917
14,#2B93DF,#61e2a4,#9EFF99,#5C9979,#654DFF
15,#2B93DF,#61e2a4,#34661F,#00FFFD,#661F24
16,#2B93DF,#61e2a4,#CC827A,#81CC3D,#FF4A26
17,#2B93DF,#61e2a4,#CC827A,#81CC3D,#73CBFF
18,#2B93DF,#61e2a4,#CC827A,#82CC5C,#FFC400
19,#2B93DF,#61e2a4,#CC0098,#66643D,#5C9983
20,#2B93DF,#61e2a4,#CC0098,#66643D,#660001
21,#2B93DF,#61e2a4,#CC827A,#994547,#FFE473
22,#2B93DF,#61e2a4,#CC827A,#994547,#662E63
23,#2B93DF,#61e2a4,#CC827A,#81CC3D,#1F6636
24,#2B93DF,#61e2a4,#CC0098,#699945,#60995C
25,#2B93DF,#61e2a4,#CC0098,#B4CC5C,#B000FF
26,#2B93DF,#61e2a4,#CC0098,#B4CC5C,#CC7ACA
27,#2B93DF,#61e2a4,#9EFF99,#66533D,#006605
28,#2B93DF,#61e2a4,#9EFF99,#66533D,#27CC1F
29,#2B93DF,#61e2a4,#9EFF99,#66533D,#3F663D
30,#2B93DF,#61e2a4,#9EFF99,#66533D,#5C995D
31,#2B93DF,#61e2a4,#9EFF99,#5C9979,#662E4D
32,#2B93DF,#61e2a4,#9EFF99,#5C9979,#5E995C
33,#2B93DF,#61e2a4,#9EFF99,#5C9986,#7ACCA0
34,#2B93DF,#61e2a4,#9EFF99,#5C9986,#FF262B
35,#2B93DF,#61e2a4,#9EFF99,#5C9986,#614DFF
36,#2B93DF,#61e2a4,#9EFF99,#5C9986,#FFD599
37,#2B93DF,#61e2a4,#CC827A,#82CC5C,#7A5C99
38,#2B93DF,#61e2a4,#9EFF99,#00FFE1,#5CCCAB
39,#2B93DF,#61e2a4,#34661F,#00FFFD,#FFAF4D
40,#2B93DF,#61e2a4,#B8FF26,#574599,#995117
41,#2B93DF,#61e2a4,#B8FF26,#574599,#AA00FF
42,#2B93DF,#61e2a4,#B8FF26,#574599,#459959
43,#2B93DF,#61e2a4,#CC0098,#699945,#CCC65C
44,#2B93DF,#61e2a4,#CC0098,#5C9965,#4B661F
45,#2B93DF,#61e2a4,#CC0098,#5C9965,#5D0F66
46,#2B93DF,#61e2a4,#CC0098,#66643D,#660F2D
47,#2B93DF,#61e2a4,#CC0098,#5C9965,#CC3D93
49,#2B93DF,#61e2a4,#CC0098,#66643D,#1F6649
50,#2B93DF,#61e2a4,#CC0098,#699945,#CC921F
51,#2B93DF,#61e2a4,#CC0098,#699945,#992E92
52,#2B93DF,#61e2a4,#CC0098,#B4CC5C,#FFF599
53,#2B93DF,#61e2a4,#440066,#662D0F,#126600
54,#2B93DF,#61e2a4,#440066,#FF9999,#995C7F
55,#2B93DF,#61e2a4,#440066,#FF9999,#994DFF
56,#2B93DF,#61e2a4,#7B7ACC,#54661F,#009907
57,#2B93DF,#61e2a4,#34661F,#3DCC96,#663D3E
58,#2B93DF,#61e2a4,#34661F,#CC3D77,#30660F
59,#2B93DF,#61e2a4,#34661F,#00FFFD,#783DCC
60,#2B93DF,#61e2a4,#34661F,#49660F,#52662E
61,#2B93DF,#61e2a4,#34661F,#49660F,#7ACACC
62,#2B93DF,#61e2a4,#34661F,#49660F,#F226FF
63,#2B93DF,#61e2a4,#34661F,#49660F,#1F2A66
64,#2B93DF,#61e2a4,#34661F,#CC3D77,#349900
65,#2B93DF,#61e2a4,#34661F,#3DCC96,#CC8700
66,#2B93DF,#61e2a4,#34661F,#CC3D77,#FF737E
67,#2B93DF,#61e2a4,#34661F,#00FFFD,#D573FF
68,#2B93DF,#61e2a4,#34661F,#CC3D77,#990D00
69,#2B93DF,#61e2a4,#34661F,#3DCC96,#458299
70,#2B93DF,#61e2a4,#34661F,#3DCC96,#1FCCBA
71,#2B93DF,#61e2a4,#34661F,#1F52CC,#BACC3D
72,#2B93DF,#61e2a4,#34661F,#CC3D77,#002BFF
73,#2B93DF,#61e2a4,#34661F,#3E662E,#99FFFC
75,#2B93DF,#61e2a4,#34661F,#49660F,#009964
76,#2B93DF,#61e2a4,#7B7ACC,#935C99,#66271F
77,#2B93DF,#61e2a4,#7B7ACC,#935C99,#1F69CC
78,#2B93DF,#61e2a4,#7B7ACC,#935C99,#1FCC68
79,#2B93DF,#61e2a4,#7B7ACC,#54661F,#FFB299
80,#2B93DF,#61e2a4,#7B7ACC,#662E53,#0F6660
81,#2B93DF,#61e2a4,#7B7ACC,#662E53,#008999
82,#2B93DF,#61e2a4,#7B7ACC,#662E53,#E6FF4D
83,#2B93DF,#61e2a4,#7B7ACC,#FF73DB,#FF00AD
84,#2B93DF,#61e2a4,#7B7ACC,#26FF73,#4DFFB4
85,#2B93DF,#61e2a4,#7B7ACC,#26FF73,#953DCC
86,#2B93DF,#61e2a4,#7B7ACC,#935C99,#410066
87,#2B93DF,#61e2a4,#7B7ACC,#26FF73,#009989
88,#2B93DF,#61e2a4,#7B7ACC,#54661F,#CC7500
89,#2B93DF,#61e2a4,#7B7ACC,#662E53,#998A2E
90,#2B93DF,#61e2a4,#7B7ACC,#FF73DB,#CC3D6F
91,#2B93DF,#61e2a4,#99CAFF,#006614,#67995C
92,#2B93DF,#61e2a4,#99CAFF,#006614,#FFAE73
93,#2B93DF,#61e2a4,#99CAFF,#CC9A5C,#662E5F
94,#2B93DF,#61e2a4,#99CAFF,#CC9A5C,#000466
95,#2B93DF,#61e2a4,#99CAFF,#CC9A5C,#8B2E99
96,#2B93DF,#61e2a4,#99CAFF,#CC9A5C,#CC7A5C
97,#2B93DF,#FA0087,#C400FF,#2E3966,#DE00FF
98,#2B93DF,#FA0087,#660F38,#8D9917,#2CFF00
99,#2B93DF,#FA0087,#660F38,#8D9917,#FF4D6C
100,#2B93DF,#FA0087,#660F38,#8D9917,#246600
101,#2B93DF,#FA0087,#C0FF4D,#952E99,#74CC00
102,#2B93DF,#FA0087,#660F38,#651F66,#471799
103,#2B93DF,#FA0087,#C0FF4D,#952E99,#231F66
104,#2B93DF,#FA0087,#C0FF4D,#952E99,#992E85
105,#2B93DF,#FA0087,#C0FF4D,#2E5266,#289917
106,#2B93DF,#FA0087,#C0FF4D,#661799,#CC695C
107,#2B93DF,#FA0087,#C0FF4D,#661799,#753DCC
108,#2B93DF,#FA0087,#C0FF4D,#2E5266,#99EFFF
109,#2B93DF,#FA0087,#C0FF4D,#6A992E,#CC3DBC
110,#2B93DF,#FA0087,#C0FF4D,#6A992E,#5A9917
111,#2B93DF,#FA0087,#C400FF,#00B2CC,#009975
112,#2B93DF,#FA0087,#C0FF4D,#991759,#FF26FD
113,#2B93DF,#FA0087,#C0FF4D,#952E99,#790099
114,#2B93DF,#FA0087,#C400FF,#172C99,#0025FF
115,#2B93DF,#FA0087,#C400FF,#2E3966,#26A1FF
116,#2B93DF,#FA0087,#1F665D,#994563,#66512E
117,#2B93DF,#FA0087,#1F665D,#1F4666,#526600
118,#2B93DF,#FA0087,#1F665D,#1F4666,#994549
119,#2B93DF,#FA0087,#1F665D,#1F4666,#2E9799
120,#2B93DF,#FA0087,#1F665D,#994563,#26FF46
121,#2B93DF,#FA0087,#1F665D,#994563,#73D7FF
122,#2B93DF,#FA0087,#1F665D,#994563,#995C94
123,#2B93DF,#FA0087,#1F665D,#5CAACC,#C273FF
124,#2B93DF,#FA0087,#1F665D,#5CAACC,#411799
125,#2B93DF,#FA0087,#1F665D,#994563,#230099
126,#2B93DF,#FA0087,#1F665D,#994563,#8F5CCC
127,#2B93DF,#FA0087,#1F665D,#994563,#459199
128,#2B93DF,#FA0087,#64c2fc,#99822E,#00664E
129,#2B93DF,#FA0087,#64c2fc,#99822E,#5C79CC
130,#2B93DF,#FA0087,#64c2fc,#99822E,#86FF4D
131,#2B93DF,#FA0087,#64c2fc,#170F66,#E7FF26
132,#2B93DF,#FA0087,#C0FF4D,#661799,#2E998A
133,#2B93DF,#FA0087,#C0FF4D,#661799,#B199FF
134,#2B93DF,#FA0087,#C0FF4D,#661799,#998F5C
135,#2B93DF,#FA0087,#C0FF4D,#991759,#991782
136,#2B93DF,#FA0087,#C0FF4D,#991759,#995C84
137,#2B93DF,#FA0087,#C0FF4D,#991759,#26FFEC
138,#2B93DF,#FA0087,#C0FF4D,#952E99,#00CC1A
139,#2B93DF,#FA0087,#C0FF4D,#2E5266,#661D0F
140,#2B93DF,#FA0087,#C0FF4D,#2E5266,#CC5CAE
141,#2B93DF,#FA0087,#C0FF4D,#2E5266,#661F47
