cluster_alias,neurotransmitter,class,subclass,supertype,cluster
1,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0082 L2 IT PPP-APr Glut_3,0326 L2 IT PPP-APr Glut_3
2,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0082 L2 IT PPP-APr Glut_3,0327 L2 IT PPP-APr Glut_3
3,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0081 L2 IT PPP-APr Glut_2,0322 L2 IT PPP-APr Glut_2
4,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0081 L2 IT PPP-APr Glut_2,0323 L2 IT PPP-APr Glut_2
5,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0081 L2 IT PPP-APr Glut_2,0325 L2 IT PPP-APr Glut_2
6,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0080 L2 IT PPP-APr Glut_1,0321 L2 IT PPP-APr Glut_1
7,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0080 L2 IT PPP-APr Glut_1,0318 L2 IT PPP-APr Glut_1
8,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0080 L2 IT PPP-APr Glut_1,0319 L2 IT PPP-APr Glut_1
9,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0080 L2 IT PPP-APr Glut_1,0320 L2 IT PPP-APr Glut_1
10,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0083 L2 IT PPP-APr Glut_4,0328 L2 IT PPP-APr Glut_4
11,Glut,01 IT-ET Glut,018 L2 IT PPP-APr Glut,0081 L2 IT PPP-APr Glut_2,0324 L2 IT PPP-APr Glut_2
12,Glut,02 NP-CT-L6b Glut,030 L6 CT CTX Glut,0118 L6 CT CTX Glut_5,0451 L6 CT CTX Glut_5
13,Glut,02 NP-CT-L6b Glut,030 L6 CT CTX Glut,0118 L6 CT CTX Glut_5,0452 L6 CT CTX Glut_5
14,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0110 L6b CTX Glut_1,0424 L6b CTX Glut_1
15,Glut,02 NP-CT-L6b Glut,030 L6 CT CTX Glut,0118 L6 CT CTX Glut_5,0453 L6 CT CTX Glut_5
16,Glut,02 NP-CT-L6b Glut,027 L6b EPd Glut,0105 L6b EPd Glut_3,0408 L6b EPd Glut_3
17,Glut,02 NP-CT-L6b Glut,027 L6b EPd Glut,0105 L6b EPd Glut_3,0409 L6b EPd Glut_3
18,Glut,02 NP-CT-L6b Glut,027 L6b EPd Glut,0103 L6b EPd Glut_1,0403 L6b EPd Glut_1
19,Glut,02 NP-CT-L6b Glut,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,0410 L6b/CT ENT Glut_1
20,Glut,02 NP-CT-L6b Glut,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,0411 L6b/CT ENT Glut_1
21,Glut,02 NP-CT-L6b Glut,027 L6b EPd Glut,0104 L6b EPd Glut_2,0406 L6b EPd Glut_2
22,Glut,02 NP-CT-L6b Glut,027 L6b EPd Glut,0104 L6b EPd Glut_2,0405 L6b EPd Glut_2
23,Glut,02 NP-CT-L6b Glut,027 L6b EPd Glut,0105 L6b EPd Glut_3,0407 L6b EPd Glut_3
24,Glut,02 NP-CT-L6b Glut,028 L6b/CT ENT Glut,0107 L6b/CT ENT Glut_2,0414 L6b/CT ENT Glut_2
25,Glut,02 NP-CT-L6b Glut,028 L6b/CT ENT Glut,0108 L6b/CT ENT Glut_3,0418 L6b/CT ENT Glut_3
26,Glut,02 NP-CT-L6b Glut,028 L6b/CT ENT Glut,0108 L6b/CT ENT Glut_3,0419 L6b/CT ENT Glut_3
27,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0111 L6b CTX Glut_2,0430 L6b CTX Glut_2
28,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0111 L6b CTX Glut_2,0427 L6b CTX Glut_2
29,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0111 L6b CTX Glut_2,0428 L6b CTX Glut_2
30,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0111 L6b CTX Glut_2,0429 L6b CTX Glut_2
31,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0110 L6b CTX Glut_1,0425 L6b CTX Glut_1
32,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0110 L6b CTX Glut_1,0426 L6b CTX Glut_1
33,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0112 L6b CTX Glut_3,0431 L6b CTX Glut_3
34,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0112 L6b CTX Glut_3,0432 L6b CTX Glut_3
35,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0112 L6b CTX Glut_3,0433 L6b CTX Glut_3
36,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0112 L6b CTX Glut_3,0434 L6b CTX Glut_3
37,Glut,02 NP-CT-L6b Glut,027 L6b EPd Glut,0103 L6b EPd Glut_1,0404 L6b EPd Glut_1
38,Glut,02 NP-CT-L6b Glut,029 L6b CTX Glut,0113 L6b CTX Glut_4,0435 L6b CTX Glut_4
