Region_ID,Side,ID_Path,Region,Abbr
1,R,/997/8/343/1129/1097/467/331/557/1/,"Tuberomammillary nucleus, ventral part",TMv
2,R,/997/8/567/688/695/315/453/322/345/2/,"Primary somatosensory area, mouth, layer 6b",SSp-m6b
5,R,/997/1009/983/784/6/,internal capsule,int
6,R,/997/8/343/1065/771/1132/7/,Principal sensory nucleus of the trigeminal,PSV
8,R,/997/8/567/688/695/315/453/322/361/9/,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a
9,R,/997/8/343/313/323/294/10/,"Superior colliculus, motor related, intermediate gray layer",SCig
11,R,/997/8/343/313/348/165/12/,Interfascicular nucleus raphe,IF
13,R,/997/8/343/1129/549/856/571/15/,Parataenial nucleus,PT
15,R,/997/8/343/313/323/294/17/,"Superior colliculus, motor related, intermediate white layer",SCiw
17,R,/997/8/567/688/695/1089/1080/19/,Induseum griseum,IG
18,R,/997/8/567/688/695/1089/822/909/918/20/,"Entorhinal area, lateral part, layer 2",ENTl2
21,R,/997/8/567/623/477/278/23/,Anterior amygdalar area,AAA
23,R,/997/8/343/313/323/294/26/,"Superior colliculus, motor related, deep gray layer",SCdg
24,R,/997/8/343/1129/549/856/1014/27/,Intergeniculate leaflet of the lateral geniculate complex,IGL
25,R,/997/8/567/688/695/1089/822/909/918/28/,"Entorhinal area, lateral part, layer 6a",ENTl6a
27,R,/997/8/343/1129/1097/157/30/,"Periventricular hypothalamic nucleus, anterior part",PVa
29,R,/997/8/567/688/695/315/669/385/33/,"Primary visual area, layer 6a",VISp6a
31,R,/997/8/343/313/323/35/,Oculomotor nucleus,III
32,R,/997/8/567/688/695/315/1057/36/,"Gustatory areas, layer 1",GU1
34,R,/997/8/343/1129/1097/157/38/,Paraventricular hypothalamic nucleus,PVH
36,R,/997/8/567/688/695/315/669/533/41/,"posteromedial visual area, layer 2/3",VISpm2/3
37,R,/997/8/343/313/323/294/42/,"Superior colliculus, motor related, deep white layer",SCdw
45,R,/997/8/343/313/323/795/50/,Precommissural nucleus,PRC
47,R,/997/8/567/688/695/1089/822/909/918/52/,"Entorhinal area, lateral part, layer 3",ENTl3
49,R,/997/1009/991/824/54/,medial forebrain bundle,mfb
51,R,/997/8/567/623/477/493/56/,Nucleus accumbens,ACB
53,R,/997/8/343/313/323/58/,Medial terminal nucleus of the accessory optic tract,MT
54,R,/997/8/343/1129/549/856/444/59/,Intermediodorsal nucleus of the thalamus,IMD
57,R,/997/1009/967/832/62/,medial longitudinal fascicle,mlf
58,R,/997/8/343/1129/1097/467/63/,"Paraventricular hypothalamic nucleus, descending division",PVHd
59,R,/997/8/343/1129/549/856/239/64/,Anterodorsal nucleus,AD
61,R,/997/8/343/313/323/66/,Lateral terminal nucleus of the accessory optic tract,LT
62,R,/997/8/343/313/323/795/67/,Interstitial nucleus of Cajal,INC
63,R,/997/8/567/688/695/315/184/68/,"Frontal pole, layer 1",FRP1
67,R,/997/8/343/1129/1097/141/72/,Anterodorsal preoptic nucleus,ADP
69,R,/997/8/567/688/695/315/669/409/74/,"Lateral visual area, layer 6a",VISl6a
70,R,/997/8/343/313/323/75/,Dorsal terminal nucleus of the accessory optic tract,DT
73,R,/997/1009/960/752/78/,middle cerebellar peduncle,mcp
76,R,/997/73/81/,lateral ventricle,VL
78,R,/997/8/343/1065/354/370/83/,Inferior olivary complex,IO
79,R,/997/8/567/688/695/315/972/84/,"Prelimbic area, layer 6a",PL6a
83,R,/997/8/343/1129/1097/467/88/,Anterior hypothalamic nucleus,AHN
86,R,/997/8/512/519/91/,Interposed nucleus,IP
88,R,/997/1009/967/901/93/,motor root of the trigeminal nerve,moV
91,R,/997/8/343/1065/354/386/607/96/,Dorsal cochlear nucleus,DCO
92,R,/997/8/567/688/695/315/541/97/,"Temporal association areas, layer 1",TEa1
93,R,/997/73/81/98/,subependymal zone,SEZ
95,R,/997/8/343/313/348/165/100/,Interpeduncular nucleus,IPN
96,R,/997/8/343/1065/354/386/607/101/,Ventral cochlear nucleus,VCO
97,R,/997/1009/1000/760/102/,nigrostriatal tract,nst
100,R,/997/8/343/1065/771/1132/398/105/,"Superior olivary complex, medial part",SOCm
101,R,/997/8/343/1065/354/370/106/,Inferior salivatory nucleus,ISN
103,R,/997/73/81/108/,choroid plexus,chpl
108,R,/997/8/567/688/695/315/453/322/337/113/,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3
109,R,/997/8/343/1065/771/1132/398/114/,"Superior olivary complex, lateral part",SOCl
110,R,/997/8/343/313/323/115/,Trochlear nucleus,IV
112,R,/997/1009/967/848/117/,optic chiasm,och
113,R,/997/8/343/1129/1097/157/118/,"Periventricular hypothalamic nucleus, intermediate part",PVi
115,R,/997/8/567/688/695/315/95/111/120/,"Agranular insular area, posterior part, layer 1",AIp1
116,R,/997/8/567/688/695/315/669/409/121/,"Lateral visual area, layer 6b",VISl6b
117,R,/997/8/343/1065/771/1132/398/122/,"Superior olivary complex, periolivary region",POR
118,R,/997/8/343/1065/771/1132/867/123/,Koelliker-Fuse subnucleus,KF
120,R,/997/1009/967/848/125/,optic tract,opt
121,R,/997/8/343/1129/1097/141/126/,"Periventricular hypothalamic nucleus, posterior part",PVp
123,R,/997/8/343/313/323/128/,Midbrain reticular nucleus,MRN
124,R,/997/73/129/,third ventricle,V3
126,R,/997/8/567/688/703/131/,Lateral amygdalar nucleus,LA
127,R,/997/8/567/688/695/315/972/132/,"Prelimbic area, layer 6b",PL6b
128,R,/997/8/343/1129/1097/141/133/,"Periventricular hypothalamic nucleus, preoptic part",PVpo
131,R,/997/8/343/1065/354/370/136/,Intermediate reticular nucleus,IRN
134,R,/997/8/567/688/695/1089/822/909/918/139/,"Entorhinal area, lateral part, layer 5",ENTl5
135,R,/997/73/140/,cerebral aqueduct,AQ
138,R,/997/8/343/1065/354/370/135/143/,"Nucleus ambiguus, ventral division",AMBv
140,R,/997/73/145/,fourth ventricle,V4
141,R,/997/8/343/1065/771/1117/146/,Pontine reticular nucleus,PRNr
142,R,/997/8/343/1065/771/1117/147/,Locus ceruleus,LC
143,R,/997/8/567/688/695/315/1057/148/,"Gustatory areas, layer 4",GU4
144,R,/997/8/343/1129/549/856/571/149/,Paraventricular nucleus of the thalamus,PVT
148,R,/997/73/145/153/,lateral recess,V4r
150,R,/997/8/343/1129/549/856/239/155/,Lateral dorsal nucleus of thalamus,LD
151,R,/997/8/567/688/695/315/247/1011/156/,"Dorsal auditory area, layer 6a",AUDd6a
153,R,/997/1009/967/832/158/,posterior commissure,pc
154,R,/997/8/567/688/695/698/159/,Anterior olfactory nucleus,AON
157,R,/997/8/343/1065/771/1117/162/,Laterodorsal tegmental nucleus,LDT
158,R,/997/8/567/688/695/315/95/111/163/,"Agranular insular area, posterior part, layer 2/3",AIp2/3
159,R,/997/73/164/,"central canal, spinal cord/medulla",c
