order,structure_ID,lowered_ID,structure_id_path,very_general_region,general_region,full_structure_name,collapsed_region_name,abbreviation,collapsed_region,other_abbreviation,other_abbreviation_defined,layer,sunburst,R,G,B
0,997,987,/997/,root,root,root,root,root,root,,,,"root: rgb(0,0,0)",0,0,0
1,8,#N/A,/997/8/,grey matter,grey matter,Basic cell groups and regions,Basic cell groups and regions,grey,grey,,,,"grey: rgb(191,218,227)",191,218,227
2,567,#N/A,/997/8/567/,Cerebrum,Cerebrum,Cerebrum,Cerebrum,CH,CH,,,,"CH: rgb(176,240,255)",176,240,255
3,688,#N/A,/997/8/567/688/,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex,CTX,CTX,,,,"CTX: rgb(176,255,184)",176,255,184
4,695,#N/A,/997/8/567/688/695/,Cortical plate,Cortical plate,Cortical plate,Cortical plate,CTXpl,CTXpl,,,,"CTXpl: rgb(112,255,112)",112,255,112
5,315,#N/A,/997/8/567/688/695/315/,Isocortex,Isocortex,Isocortex,Isocortex,Isocortex,Isocortex,,,,"Isocortex: rgb(112,255,113)",112,255,113
6,184,#N/A,/997/8/567/688/695/315/184/,Isocortex,Frontal pole,"Frontal pole, cerebral cortex",Frontal pole,FRP,FRP,,,,"FRP: rgb(38,143,68)",38,143,68
7,68,63,/997/8/567/688/695/315/184/68/,Isocortex,Frontal pole,"Frontal pole, layer 1",Frontal pole,FRP1,FRP,,,1,"FRP1: rgb(38,143,69)",38,143,69
8,667,657,/997/8/567/688/695/315/184/667/,Isocortex,Frontal pole,"Frontal pole, layer 2/3",Frontal pole,FRP2/3,FRP,,,45325,"FRP2/3: rgb(38,142,69)",38,142,69
9,526157192,1288,/997/8/567/688/695/315/184/526157192/,Isocortex,Frontal pole,"Frontal pole, layer 5",Frontal pole,FRP5,FRP,,,5,"FRP5: rgb(37,143,69)",37,143,69
