lowered_ID,abbreviation
1,ic-cp-lfp-py
3,STh
4,Cb-m
5,Cb-u
6,alv
7,icp
10,Cg2
32,EP
33,V-u
34,ml-u
35,7n-u
36,aca
37,acp
38,vhc
40,Sep
41,2n
42,opt-och
43,PG
45,SpC
46,csc
47,BS-u
48,HTh-u
50,SuG
51,PAG
52,f
53,mtg
54,cst
55,SuD
56,PVG
57,g7
58,Pn
59,fi
60,fr
61,sm
62,st
63,pc
64,GlA
65,Gl
66,OB-u
67,cc-ec-cing-dwm
68,bsc
69,cic
70,CC
71,IP
72,asc7
73,aci
74,IO
75,Sp5n
77,FrA
78,mcp
79,tfp
80,hbc
81,SMn
82,BFR-u
83,sox
84,mlx
85,pyx
93,BNST
94,PRT
95,CA3
96,DG
97,CA2
98,CA1
99,FC
100,SUB
108,POR
109,PrS
110,PaS
112,PER35
113,PER36
114,MEC
115,LEC
119,VeA
120,Co
121,8cn
122,8vn
123,GCL
125,4V
126,DCNM
127,DCNFG
128,DCND
129,as
130,tz
131,NTB
132,SPN
133,MSO
134,LSO
135,SPR
136,VPO
137,VLL
138,ILL
139,DLL
140,ll-c
141,ll-u
142,DCIC
143,CNIC
145,ECIC
146,bic
150,MG-mz
151,Au1
152,Au2-d
153,Au2-v
157,eml-ar
158,AVCN
159,PVCN
160,Cap
162,SpG
163,Sag
164,RT-a
180,lot
181,PIR1
182,PIR2
183,PIR3
184,NAc-c
187,SN-r
188,SN-c
189,SN-l
192,NAc-sh
193,VP
195,GPe-m
196,VTA
197,CPu
198,GPe-l
199,VSR-u
200,RT-u
201,PP
204,PrG
205,DLG
206,LHb
207,MHb
208,PIL
210,Po-t
211,PT
213,AD
214,AV-dm
215,AV-vl
216,Rh
218,Xi
219,Re
221,VM
222,SMT
223,Ang
227,VPM
228,LD-dm
229,LD-vl
230,Po
231,VL
232,MD-l
233,MD-c
235,ZI-d
236,ZI-v
238,ZI-A13
239,ptl
240,MD-m
242,PV
246,PCN
247,CM
248,CL
249,eml-u
254,AM
255,IAM
257,ZI-r
260,IMD
266,VP-pc
267,PF
268,RRe
270,scp-pr
272,IGL
278,SPF
280,FoF
281,SubG
282,Eth
283,LP-l
284,ZI-A11
285,LP-mr
286,LP-mc
287,ZI-c
290,ima
291,iml
293,VA
294,VPL
295,MG-d
297,MG-m
298,MG-v
299,MG-sg
400,VLO
401,LO
402,VO
403,MO
404,DLO
405,PrL
406,M2
407,Ma
408,M1
409,AI-v
410,AI-d
411,Cg1
412,CLA
413,IL
414,DI
416,GI
417,S1-fl
418,S1-dz
420,S1-f
422,S2
423,S1-hl
424,AI-p
425,S1-bf
427,RSD
429,S1-tr
430,RSG
432,lPPC
433,mPPC
436,PtP
442,V1
443,V2L
444,TeA
448,V2M
500,Endo
501,Am-u
502,NLOT
504,5n
505,msp5t
506,AOA-u
1000,Brain
1001,wmt
1002,ac
1003,hiw
1004,cfp
1005,ml
1006,tht
1007,7n
1008,ofs
1009,tew
1010,cbt
1011,bsw
1012,ll
1013,GM
1015,Cx
1018,Cg
1019,Au
1020,OB
1021,HF
1022,CA
1023,PHR
1024,PER
1025,EC
1028,PAL
1032,MG
1033,RT
1034,HY
1035,MB
1036,Tc
1037,IC
1038,Su
1039,Tg
1043,VCN
1044,DCN
1045,SO
1046,NLL
1047,Cb
1048,V
1049,IE
1050,olf
1051,eml
1052,Tel
1053,LamP
1055,HR
1056,PIR
1057,CgR
1058,RS
1059,INS
1060,AI
1061,Front
1062,Orb
1063,MFC
1064,M
1065,Par
1066,SS
1067,S1
1068,PPC
1069,Oc
1070,Vis
1071,V2
1072,Te
1073,Au2
1074,N-LamP
1075,SubPAL
1076,Str
1077,NAc
1078,GPe
1079,BRF
1080,Dien
1081,Thal-Pre
1082,ZI
1083,Thal-EPI
1084,Thal-D
1085,ANT
1086,AV
1087,DC-MID
1088,V-MID
1089,MD
1090,VENT
1091,VPN
1092,ILM
1093,PoC
1094,LP
1095,LD
1096,PreT
1097,Mes
1098,SN
1099,Rho
1100,Met
1101,Myel
