Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
grey,BS,IB,HY,MEZ,MBO,TM,TMv,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m6b
fiber tracts,lfbs,cst,int,,,,,
grey,BS,HB,P,P-sen,PSV,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr6a
grey,BS,MB,MBmot,SCm,SCig,,,
grey,BS,MB,MBsta,RAmb,IF,,,
grey,BS,IB,TH,DORpm,MTN,PT,,
grey,BS,MB,MBmot,SCm,SCiw,,,
grey,CH,CTX,CTXpl,HPF,HIP,IG,,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl2
grey,CH,CTX,CTXpl,Isocortex,PTLp,,,
grey,CH,CNU,STR,sAMY,AAA,,,
grey,BS,MB,MBmot,SCm,SCdg,,,
grey,BS,IB,TH,DORpm,GENv,IGL,,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl6a
grey,BS,IB,HY,PVZ,PVa,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp6a,
grey,BS,MB,MBmot,III,,,,
grey,CH,CTX,CTXpl,Isocortex,GU,GU1,,
grey,BS,IB,HY,PVZ,PVH,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm2/3,
grey,BS,MB,MBmot,SCm,SCdw,,,
grey,BS,MB,MBmot,PAG,PRC,,,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl3
fiber tracts,mfbs,mfsbshy,mfb,,,,,
grey,CH,CNU,STR,STRv,ACB,,,
grey,BS,MB,MBmot,MT,,,,
grey,BS,IB,TH,DORpm,MED,IMD,,
fiber tracts,cm,IIIn,mlf,,,,,
grey,BS,IB,HY,MEZ,PVHd,,,
grey,BS,IB,TH,DORpm,ATN,AD,,
grey,BS,MB,MBmot,LT,,,,
grey,BS,MB,MBmot,PAG,INC,,,
grey,CH,CTX,CTXpl,Isocortex,FRP,FRP1,,
grey,BS,IB,HY,PVR,ADP,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl6a,
grey,BS,MB,MBmot,DT,,,,
fiber tracts,cbf,cbp,mcp,,,,,
VS,VL,,,,,,,
grey,BS,HB,MY,MY-mot,IO,,,
grey,CH,CTX,CTXpl,Isocortex,PL,PL6a,,
grey,BS,IB,HY,MEZ,AHN,,,
grey,CB,CBN,IP,,,,,
fiber tracts,cm,Vn,moV,,,,,
grey,BS,HB,MY,MY-sen,CN,DCO,,
grey,CH,CTX,CTXpl,Isocortex,TEa,TEa1,,
VS,VL,SEZ,,,,,,
grey,BS,MB,MBsta,RAmb,IPN,,,
