Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
root,grey,BS,IB,HY,MEZ,MBO,TM,TMv,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m6b
root,fiber tracts,lfbs,cst,int,,,,,
root,grey,BS,HB,P,P-sen,PSV,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr6a
root,grey,BS,MB,MBmot,SCm,SCig,,,
root,grey,BS,MB,MBsta,RAmb,IF,,,
root,grey,BS,IB,TH,DORpm,MTN,PT,,
root,grey,BS,MB,MBmot,SCm,SCiw,,,
root,grey,CH,CTX,CTXpl,HPF,HIP,IG,,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl2
root,grey,CH,CTX,CTXpl,Isocortex,PTLp,,,
root,grey,CH,CNU,STR,sAMY,AAA,,,
root,grey,BS,MB,MBmot,SCm,SCdg,,,
root,grey,BS,IB,TH,DORpm,GENv,IGL,,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl6a
root,grey,BS,IB,HY,PVZ,PVa,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp6a,
root,grey,BS,MB,MBmot,III,,,,
root,grey,CH,CTX,CTXpl,Isocortex,GU,GU1,,
root,grey,BS,IB,HY,PVZ,PVH,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm2/3,
root,grey,BS,MB,MBmot,SCm,SCdw,,,
root,grey,BS,MB,MBmot,PAG,PRC,,,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl3
root,fiber tracts,mfbs,mfsbshy,mfb,,,,,
root,grey,CH,CNU,STR,STRv,ACB,,,
root,grey,BS,MB,MBmot,MT,,,,
root,grey,BS,IB,TH,DORpm,MED,IMD,,
root,fiber tracts,cm,IIIn,mlf,,,,,
root,grey,BS,IB,HY,MEZ,PVHd,,,
root,grey,BS,IB,TH,DORpm,ATN,AD,,
root,grey,BS,MB,MBmot,LT,,,,
root,grey,BS,MB,MBmot,PAG,INC,,,
root,grey,CH,CTX,CTXpl,Isocortex,FRP,FRP1,,
root,grey,BS,IB,HY,PVR,ADP,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl6a,
root,grey,BS,MB,MBmot,DT,,,,
root,fiber tracts,cbf,cbp,mcp,,,,,
root,VS,VL,,,,,,,
root,grey,BS,HB,MY,MY-mot,IO,,,
root,grey,CH,CTX,CTXpl,Isocortex,PL,PL6a,,
root,grey,BS,IB,HY,MEZ,AHN,,,
root,grey,CB,CBN,IP,,,,,
root,fiber tracts,cm,Vn,moV,,,,,
root,grey,BS,HB,MY,MY-sen,CN,DCO,,
root,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa1,,
root,VS,VL,SEZ,,,,,,
root,grey,BS,MB,MBsta,RAmb,IPN,,,
root,grey,BS,HB,MY,MY-sen,CN,VCO,,
root,fiber tracts,eps,epsc,nst,,,,,
root,grey,BS,HB,P,P-sen,SOC,SOCm,,
root,grey,BS,HB,MY,MY-mot,ISN,,,
root,VS,VL,chpl,,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll2/3
root,grey,BS,HB,P,P-sen,SOC,SOCl,,
root,grey,BS,MB,MBmot,IV,,,,
root,fiber tracts,cm,IIn,och,,,,,
root,grey,BS,IB,HY,PVZ,PVi,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp1,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl6b,
root,grey,BS,HB,P,P-sen,SOC,POR,,
root,grey,BS,HB,P,P-sen,PB,KF,,
root,fiber tracts,cm,IIn,opt,,,,,
root,grey,BS,IB,HY,PVR,PVp,,,
root,grey,BS,MB,MBmot,MRN,,,,
root,VS,V3,,,,,,,
root,grey,CH,CTX,CTXsp,LA,,,,
root,grey,CH,CTX,CTXpl,Isocortex,PL,PL6b,,
root,grey,BS,IB,HY,PVR,PVpo,,,
root,grey,BS,HB,MY,MY-mot,IRN,,,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl5
root,VS,AQ,,,,,,,
root,grey,BS,HB,MY,MY-mot,AMB,AMBv,,
root,VS,V4,,,,,,,
root,grey,BS,HB,P,P-sat,PRNr,,,
root,grey,BS,HB,P,P-sat,LC,,,
root,grey,CH,CTX,CTXpl,Isocortex,GU,GU4,,
root,grey,BS,IB,TH,DORpm,MTN,PVT,,
root,VS,V4,V4r,,,,,,
root,grey,BS,IB,TH,DORpm,ATN,LD,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd6a,
root,fiber tracts,cm,IIIn,pc,,,,,
root,grey,CH,CTX,CTXpl,OLF,AON,,,
root,grey,BS,HB,P,P-sat,LDT,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp2/3,
root,VS,c,,,,,,,
root,grey,BS,HB,MY,MY-mot,PHY,PRP,,
root,grey,CH,CTX,CTXpl,Isocortex,PL,PL1,,
root,grey,BS,IB,HY,LZ,RCH,,,
root,grey,BS,HB,MY,MY-mot,PHY,NR,,
root,grey,BS,IB,TH,DORpm,GENv,LGv,,
root,grey,CH,CTX,CTXpl,Isocortex,GU,GU2/3,,
root,grey,BS,IB,TH,DORpm,MTN,RE,,
root,grey,CH,CTX,CTXpl,Isocortex,FRP,,,
root,grey,BS,IB,TH,DORpm,EPI,LH,,
root,grey,CH,CTX,CTXpl,Isocortex,GU,GU5,,
root,grey,CH,CTX,CTXpl,OLF,AOB,AOBgl,,
root,grey,BS,IB,TH,DORpm,ILM,RH,,
root,fiber tracts,lfbs,cst,py,,,,,
root,grey,BS,IB,HY,LZ,LHA,,,
root,grey,CH,CTX,CTXpl,OLF,AOB,AOBgr,,
root,grey,BS,MB,MBsta,RAmb,RL,,,
root,fiber tracts,lfbs,cst,pyd,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,SSp-bfd2/3
root,grey,BS,HB,MY,MY-mot,VNC,MV,,
root,grey,BS,HB,MY,MY-mot,LIN,,,
root,grey,CH,CTX,CTXpl,OLF,AOB,AOBmi,,
root,grey,BS,HB,MY,MY-sat,RM,,,
root,grey,BS,HB,MY,MY-sen,AP,,,
root,grey,BS,HB,MY,MY-mot,VNC,LAV,,
root,grey,BS,IB,HY,MEZ,MBO,LM,,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd2/3,
root,grey,BS,MB,MBmot,RN,,,,
root,grey,BS,MB,MBmot,PRT,APN,,,
root,grey,BS,HB,MY,MY-mot,VNC,SUV,,
root,grey,BS,IB,TH,DORpm,LAT,LP,,
root,grey,BS,HB,MY,MY-sat,RO,,,
root,grey,BS,IB,HY,PVZ,ARH,,,
root,grey,BS,HB,MY,MY-mot,VNC,SPIV,,
root,grey,BS,IB,HY,LZ,LPO,,,
root,fiber tracts,cm,Vn,sV,,,,,
root,grey,BS,HB,MY,MY-sat,RPA,,,
root,grey,BS,MB,MBmot,AT,,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal5,
